Post Month,Post Weekday,Post Hour,Lifetime Post Total Reach,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
12,4,3,2752,1640,119,4,79,17,100
12,3,10,10460,6112,1108,5,130,29,164
12,3,3,2413,1503,132,0,66,14,80
12,2,10,50128,32048,1386,58,1572,147,1777
12,2,3,7244,3200,396,19,325,49,393
12,1,9,10472,7852,1016,1,152,33,186
12,1,3,11692,9328,379,3,249,27,279
12,7,9,13720,11056,422,0,325,14,339
12,7,3,11844,7912,1250,0,161,31,192
12,6,10,4694,2324,199,3,113,26,142
12,5,10,21744,18952,3798,0,233,19,252
12,5,10,3112,2174,165,0,88,18,106
12,5,10,2847,2072,152,0,90,14,104
12,5,3,2549,1917,183,5,137,10,152
12,4,5,22784,19312,684,2,577,20,599
12,3,10,10060,8548,1162,4,86,18,108
12,3,3,1722,1050,123,2,40,12,54
12,2,12,53264,39776,1307,15,678,20,713
12,2,3,3930,2410,101,4,54,17,75
12,1,11,1591,1161,100,0,34,8,42
12,1,3,2848,1963,157,3,66,12,81
12,7,10,1384,1172,15,0,0,0,0
12,7,10,3454,3100,106,0,16,2,18
12,7,3,2723,1621,143,0,72,24,96
12,6,10,8488,5244,995,3,99,19,121
12,6,3,8284,5372,1200,0,88,18,106
12,5,11,19552,9824,1779,10,412,72,494
12,5,3,2478,1443,166,0,100,17,117
12,5,3,9560,4748,621,36,523,63,622
12,4,11,36208,14112,559,18,143,13,174
12,4,2,4940,2930,273,33,107,22,162
12,3,10,1683,858,131,1,27,11,39
12,3,3,5280,2422,268,2,155,47,204
12,2,9,3002,1676,194,4,98,23,125
12,2,3,3766,2938,244,2,56,17,75
12,1,11,4512,2954,316,6,172,21,199
12,1,3,2690,1727,199,0,96,17,113
12,7,10,19800,2752,248,16,76,8,100
12,7,9,17576,11792,4104,11,227,31,269
12,7,3,3290,2584,247,1,44,14,59
12,6,11,13280,9344,1716,7,216,39,262
12,6,3,18480,6752,319,6,187,18,211
12,5,10,7268,7096,1975,7,26,3,36
12,5,3,2645,1377,101,7,29,10,46
12,4,11,4284,3634,291,0,47,11,58
12,4,3,7968,3492,138,4,57,10,71
12,3,11,16576,12888,3014,4,174,36,214
12,3,2,1925,1180,77,6,18,8,32
12,2,11,3786,3216,280,0,77,15,92
12,2,2,1536,1407,76,1,12,1,14
11,1,9,1728,1232,77,1,48,9,58
11,1,3,25248,8608,451,24,285,28,337
11,7,9,4894,2712,246,9,202,31,242
11,7,3,2935,2044,201,4,64,19,87
11,6,10,2425,1510,175,4,66,13,83
11,6,2,16416,9568,363,2,65,14,81
11,5,11,5812,2764,240,2,164,54,220
11,5,3,2545,1901,134,0,40,13,53
11,4,10,2257,1557,168,3,76,11,90
11,4,3,27072,9712,263,4,139,17,160
11,3,11,10940,5100,319,8,101,14,123
11,3,2,50912,12704,346,8,144,10,162
11,2,10,28752,7456,408,10,179,13,202
11,2,3,27216,7760,315,4,219,22,245
11,1,10,2352,1761,181,2,60,7,69
11,1,3,3416,2388,280,19,77,23,119
11,7,11,2149,1640,161,0,48,7,55
11,7,3,53456,14912,884,20,697,70,787
11,6,11,2168,1539,171,0,53,17,70
11,6,3,3102,1780,275,7,84,28,119
11,5,10,39344,11392,336,7,146,9,162
11,5,3,100768,18880,885,17,449,84,550
11,4,11,9056,5180,740,3,226,44,273
11,4,2,11444,4320,438,14,172,47,233
11,3,11,13544,11760,447,2,99,13,114
11,3,2,37376,10880,724,20,411,74,505
11,3,2,1228,1228,17,0,0,0,0
11,1,10,22984,4968,262,4,85,8,97
11,1,3,1445,1005,154,0,56,8,64
11,7,12,3754,3224,598,2,29,7,38
11,7,3,8728,7344,2099,2,86,13,101
11,6,10,5990,2628,428,18,370,53,441
11,6,3,4582,1722,305,5,190,57,252
11,5,10,2938,1848,236,2,101,19,122
11,5,2,6692,3336,156,2,99,16,117
11,4,9,2566,1806,266,10,140,8,158
11,4,3,21176,5248,185,2,130,31,163
11,3,10,4012,2218,403,3,270,38,311
11,3,3,1531,690,143,3,30,6,39
11,2,11,2938,2078,287,2,107,17,126
11,2,3,24720,8120,504,13,331,77,421
11,1,9,2219,1495,221,0,78,13,91
11,1,3,4732,3136,445,9,301,32,342
11,7,9,2225,1389,233,2,111,16,129
11,7,4,2626,1605,244,2,124,22,148
10,6,10,3090,1796,293,5,153,27,185
10,6,3,1101,704,220,3,51,11,65
10,5,11,2819,1622,240,1,115,26,142
10,5,3,12468,7636,1661,7,310,61,378
10,4,10,12776,7800,575,12,328,90,430
10,4,9,1357,1120,32,0,0,0,0
10,4,3,68896,19840,1354,26,1505,95,1626
10,3,10,1711,1118,205,2,63,14,79
10,3,4,1388,1214,172,0,13,4,17
10,2,11,2645,2101,265,4,59,9,72
10,2,4,70144,20608,1542,42,955,139,1136
10,1,11,3674,1890,328,9,181,32,222
10,1,4,9504,7616,981,17,193,28,238
10,7,9,2426,1684,248,7,125,16,148
10,7,3,13872,10432,2252,4,217,50,271
10,6,10,1673,1469,268,2,28,4,34
10,6,8,1261,1077,33,0,,,0
10,6,4,2428,1560,236,4,117,18,139
10,1,3,2227,1702,306,2,79,16,97
10,7,13,1592,1454,327,0,15,2,17
10,7,12,813,695,280,0,4,2,6
10,7,12,32208,31648,1724,1,431,26,458
10,7,11,729,650,262,0,7,0,7
10,7,10,834,704,351,0,7,2,9
10,7,10,786,660,222,0,6,2,8
10,7,9,584,511,232,0,2,,2
10,7,9,15816,11912,2361,6,186,40,232
10,7,8,619,516,217,1,1,2,4
10,7,7,617,521,191,1,3,2,6
10,7,6,677,615,211,0,7,,7
10,7,5,677,580,196,0,7,2,9
10,7,3,3366,1674,385,3,198,41,242
10,6,13,747,632,194,0,9,1,10
10,6,13,645,554,166,0,4,1,5
10,6,12,754,690,175,0,3,0,3
10,6,11,910,782,176,0,8,2,10
10,6,9,3906,3768,774,0,7,3,10
10,6,9,659,576,169,1,7,2,10
10,6,8,652,588,182,0,11,1,12
10,6,6,861,717,180,2,28,4,34
10,6,2,3690,3290,377,0,56,12,68
10,5,10,4664,3324,173,0,32,16,48
10,5,8,1080,934,184,4,32,3,39
10,5,3,8896,7020,1292,0,129,25,154
10,4,10,4018,2992,351,4,77,19,100
10,4,3,68992,8032,635,15,143,44,202
10,3,10,13152,10280,2278,2,227,36,265
10,3,2,31136,18048,4376,60,859,90,1009
10,2,10,16776,6200,590,10,377,60,447
10,2,3,50736,15552,1275,3,41,9,53
10,1,10,5324,4054,448,6,76,14,96
10,1,3,18120,2616,327,0,189,15,204
10,7,10,2291,1723,253,0,80,14,94
10,7,4,10744,8964,1834,3,148,28,179
10,6,11,3616,2138,93,0,24,11,35
10,6,4,39984,21328,1609,24,302,41,367
10,5,11,4010,2362,354,2,166,32,200
10,5,4,6564,4024,563,47,358,49,454
10,4,10,8612,7208,630,7,161,25,193
10,4,1,5568,3162,537,13,319,55,387
9,3,7,1685,953,237,0,54,16,70
9,2,11,3756,2556,365,16,117,30,163
9,2,2,2656,1722,309,1,115,21,137
9,1,10,5086,3298,489,30,187,35,252
9,1,3,2055,1507,277,1,84,13,98
9,7,9,9384,7020,604,6,363,40,409
9,7,3,3992,2420,435,6,244,32,282
9,6,10,7512,3260,530,22,290,98,410
9,6,4,11096,8120,1604,4,243,41,288
9,5,10,1060,870,204,0,18,,18
9,5,3,2790,1999,351,0,113,19,132
9,4,10,13856,9064,389,2,77,5,84
9,4,2,10748,7624,704,8,485,64,557
9,3,10,41984,20928,2126,144,1622,208,1974
9,3,2,2522,1674,333,6,99,16,121
9,2,9,4480,2704,416,3,188,26,217
9,2,2,1543,1228,267,2,30,6,38
9,1,10,21256,17592,4318,38,163,27,228
9,1,4,4484,2412,382,6,179,40,225
9,7,3,4398,2616,431,5,204,34,243
9,6,10,13216,10232,2342,2,165,22,189
9,6,3,22304,13304,1349,29,1047,98,1174
9,5,11,6208,4016,495,2,234,40,276
9,5,2,4518,2254,439,7,250,42,299
9,4,10,3582,2124,404,4,154,36,194
9,4,4,9124,7092,1331,20,150,29,199
9,3,10,14152,6632,404,4,102,8,114
9,3,2,4260,2432,436,1,226,44,271
9,2,10,30624,15744,1376,6,345,121,472
9,2,3,2363,1788,297,11,68,11,90
9,1,10,2232,1740,278,0,62,10,72
9,1,6,4048,2280,368,5,223,35,263
9,7,10,1804,1354,234,0,61,6,67
9,7,4,2351,1791,288,1,104,12,117
9,2,10,3100,2274,367,3,146,15,164
9,2,3,2360,1603,300,2,102,15,119
8,1,10,19648,13528,1020,9,766,43,818
8,1,4,2295,1882,269,0,63,7,70
8,7,10,3934,3082,384,3,113,17,133
8,7,3,34512,22816,1278,6,442,42,490
8,6,10,5282,3244,470,9,278,43,330
8,6,8,1809,1435,289,2,64,7,73
8,5,13,1920,1519,251,1,52,7,60
8,4,9,1954,1772,252,0,30,2,32
8,4,10,33536,24448,1564,33,1155,102,1290
8,4,3,4204,2974,387,2,139,25,166
8,3,9,3376,2806,331,0,40,5,45
8,3,2,9236,7880,1075,2,53,15,70
8,2,10,72864,30912,646,4,220,19,243
8,2,3,3358,2426,298,2,114,16,132
8,1,12,3254,2846,283,0,39,3,42
8,1,3,50640,34880,1790,4,859,68,931
8,7,10,3734,2868,389,5,137,20,162
8,7,3,2594,2067,248,1,54,11,66
8,6,10,2232,1306,257,2,74,22,98
8,6,3,22120,17528,796,6,98,3,107
8,5,10,7980,5372,467,2,264,21,287
8,5,1,1659,915,239,3,36,11,50
8,4,11,1006,651,187,1,11,3,15
8,4,3,12728,8844,657,4,435,31,470
8,3,10,28880,15808,740,2,114,10,126
8,3,4,1330,827,230,2,17,9,28
8,2,12,14424,14056,291,41,15,1,57
8,2,7,14200,13376,1233,3,87,10,100
8,1,12,5746,4288,584,16,227,28,271
8,1,4,2540,2063,279,2,86,8,96
8,7,10,4324,3008,401,6,179,27,212
8,7,4,8260,7360,956,1,74,11,86
8,6,10,20168,15056,2806,18,332,54,404
8,6,6,5046,4184,421,2,80,21,103
7,5,14,15296,13296,2602,9,95,17,121
7,5,8,3414,2390,360,3,188,26,217
7,4,10,95424,22016,417,6,109,11,126
7,4,3,14824,8560,650,64,367,25,456
7,3,13,3504,2730,348,9,102,19,130
7,2,23,2822,2020,327,2,113,20,135
7,2,13,2973,2208,266,0,94,20,114
7,2,6,10824,10384,126,6,14,1,21
7,1,11,4592,2100,222,1,43,10,54
7,1,5,3176,2426,279,1,98,21,120
7,7,10,10956,10564,123,3,13,1,17
7,7,4,10888,8048,722,12,237,45,294
7,6,10,3594,2468,309,4,112,23,139
7,6,2,3384,2508,344,2,101,25,128
7,5,11,4096,2826,355,10,145,31,186
7,5,3,19968,14792,757,6,535,83,624
7,4,11,4892,4206,428,4,118,22,144
7,4,6,17360,11800,1905,9,484,79,572
7,3,11,21872,12920,2218,18,315,76,409
7,3,5,180480,51456,3316,372,5172,790,6334
7,2,13,44464,14080,559,4,154,30,188
7,2,8,2881,2040,323,0,73,15,88
7,1,12,3460,2260,314,0,96,19,115
7,1,6,3406,2598,355,1,98,19,118
7,7,11,2602,1946,287,1,53,14,68
7,7,6,5848,4212,383,4,71,10,85
7,6,11,26944,10208,563,6,194,34,234
7,6,5,5292,3404,516,6,226,42,274
7,5,12,15576,10840,1839,11,238,51,300
7,5,3,54256,24224,977,10,755,58,823
7,4,12,3726,2852,399,30,47,8,85
7,4,6,31904,12992,583,2,126,32,160
7,3,13,40336,14848,907,4,104,10,118
7,3,1,4220,2326,407,10,167,26,203
7,2,13,4666,2818,459,9,152,41,202
7,2,7,4274,3164,460,0,128,15,143
7,1,13,28208,11120,636,13,234,43,290
7,1,3,3330,2196,307,2,61,16,79
7,7,11,3528,2660,360,0,66,9,75
7,7,3,38576,12624,827,7,529,60,596
7,6,13,2628,1846,328,3,42,10,55
7,6,3,7232,4712,471,2,75,24,101
7,5,10,10188,8536,1395,13,61,13,87
7,5,3,6408,4040,490,26,162,7,195
7,4,9,3414,2704,340,2,47,4,53
7,4,5,53056,17104,975,6,696,28,730
7,3,10,66976,19968,708,7,215,47,269
7,3,3,76096,19744,1276,22,534,31,587
7,4,12,5458,3204,537,1,143,27,171
7,4,3,3706,2726,493,18,46,7,71
7,3,13,18320,14920,3300,36,98,14,148
7,3,4,2316,1529,372,0,25,5,30
6,2,13,139008,38720,1008,23,204,44,271
6,2,9,5854,2894,583,11,202,5,218
6,2,3,109056,25024,1353,7,148,39,194
6,1,12,3212,2162,375,1,40,8,49
6,1,4,3046,2126,477,1,71,17,89
6,7,11,12044,10400,2119,0,104,13,117
6,7,4,9652,8972,1035,1,34,4,39
6,6,12,28112,23440,1225,11,129,12,152
6,6,4,8628,6796,774,4,72,18,94
6,5,11,2431,2301,342,0,15,3,18
6,4,22,20560,3856,460,14,102,9,125
6,4,12,20896,13656,998,103,469,33,605
6,4,11,2402,1794,137,5,57,5,67
6,4,7,1729,1406,340,0,23,2,25
6,4,3,4320,2782,459,5,141,26,172
6,3,11,2585,2144,348,0,19,5,24
6,3,3,3322,2236,375,1,71,23,95
6,2,13,3600,2110,436,0,72,21,93
6,2,2,11620,10568,920,5,54,7,66
6,1,14,4248,3114,501,5,93,19,117
6,1,3,2763,2124,375,0,62,10,72
6,7,11,3558,2392,403,0,78,16,94
6,7,4,8324,7736,662,0,14,1,15
6,6,9,6952,4292,646,11,231,43,285
6,6,2,2823,1966,348,1,72,16,89
6,5,13,63840,16480,760,9,197,28,234
6,5,3,11608,5840,594,4,330,29,363
6,4,12,58304,1408,340,0,148,7,155
6,4,2,4762,3494,569,2,208,28,238
6,3,13,6150,3742,445,12,148,28,188
6,3,3,4644,3144,506,4,154,26,184
6,2,13,22464,6864,546,3,142,18,163
6,2,3,3754,2590,482,8,107,20,135
6,1,13,4452,3768,397,0,22,3,25
6,1,3,3576,2672,403,2,84,13,99
6,7,10,3028,2184,349,2,59,12,73
6,7,3,4022,3312,423,3,65,14,82
6,6,12,52736,10144,876,0,24,4,28
6,6,4,47376,13344,697,9,186,23,218
6,5,12,3234,2174,347,0,58,17,75
6,5,3,3322,1968,328,2,74,14,90
6,4,13,6768,4012,408,2,180,44,226
6,4,5,11304,7800,732,18,168,49,235
6,3,11,13544,4120,408,0,36,5,41
6,2,13,3418,2620,327,2,51,6,59
6,2,5,3662,2660,319,2,67,14,83
6,1,10,56672,37408,1831,20,1372,47,1439
6,1,3,3294,2710,305,2,57,6,65
6,1,3,3110,2540,342,2,33,10,45
5,7,14,3806,2772,361,1,79,17,97
5,5,9,3776,2614,371,3,97,22,122
5,4,12,39040,19712,1101,16,617,58,691
5,4,4,4032,2644,432,7,139,34,180
5,3,12,21248,6664,536,20,199,32,251
5,3,5,4344,2528,367,1,107,26,134
5,2,12,2718,1992,306,0,50,10,60
5,2,1,3024,2098,341,0,64,20,84
5,1,2,10152,8980,1613,2,55,10,67
5,7,2,4708,2690,390,1,142,37,180
5,6,14,2772,1943,305,2,72,9,83
5,6,6,2812,1853,323,4,79,16,99
5,5,10,6460,3612,505,25,244,44,313
5,4,10,18056,14728,701,25,307,58,390
5,4,4,5016,3322,488,6,212,36,254
5,3,11,3528,2352,322,2,95,17,114
5,2,11,6444,4136,512,5,194,33,232
5,1,13,4458,3106,340,6,101,29,136
5,1,2,12540,11008,289,3,46,14,63
5,7,13,4362,3216,469,3,156,20,179
5,7,2,38960,34368,1978,37,821,90,948
5,6,13,3144,2148,271,1,58,13,72
5,6,8,4336,2752,403,12,155,23,190
5,5,13,81856,27392,1756,45,1639,122,1806
5,5,9,5728,3714,475,3,155,32,190
5,4,13,5490,3716,476,4,166,33,203
5,4,3,23832,21352,1578,6,210,39,255
5,3,7,18552,10584,676,4,400,25,429
5,2,14,4132,2754,398,2,98,18,118
5,2,8,4910,2812,411,12,138,38,188
5,1,13,4202,3298,428,3,148,16,167
5,1,3,5976,4046,487,2,267,40,309
5,7,14,5206,3708,414,1,144,29,174
5,7,2,6984,4776,570,25,256,54,335
5,6,9,6000,4454,429,3,72,24,99
5,6,3,3332,2330,341,0,87,18,105
5,5,7,9232,7200,843,1,129,36,166
4,4,15,5212,3608,597,1,179,30,210
4,3,13,24264,21928,1392,9,194,33,236
4,3,8,4280,2530,497,1,124,32,157
4,2,13,6692,4692,737,4,304,47,355
4,2,2,5594,3256,555,12,138,39,189
4,1,2,11336,10160,484,4,41,9,54
4,7,3,5582,3422,557,2,163,35,200
4,6,14,28352,24512,1185,45,407,76,528
4,6,3,17912,11408,2256,17,447,123,587
4,5,7,35360,5472,156,7,38,11,56
4,5,5,9084,7024,758,2,93,26,121
4,4,12,6880,5232,556,0,59,16,75
4,4,7,12824,10968,705,0,286,30,316
4,3,7,6596,5352,456,0,66,13,79
4,2,13,7492,5024,670,8,236,51,295
4,2,6,44288,14224,814,2,152,11,165
4,1,14,105632,27328,1936,51,1998,128,2177
4,7,14,128064,32384,985,8,186,18,212
4,6,20,5994,3998,683,11,235,34,280
4,6,13,6172,4234,508,1,64,22,87
4,6,3,4986,3230,469,2,92,28,122
4,5,13,6668,4696,492,3,53,13,69
4,5,7,5298,3206,471,5,140,38,183
4,4,3,35008,4864,389,0,48,8,56
4,3,13,5402,3992,514,0,112,14,126
4,3,8,9880,4732,382,0,35,5,40
4,2,13,3334,2604,440,4,37,3,44
4,2,2,3130,2112,385,0,48,14,62
4,1,13,32208,24720,1568,6,766,109,881
4,1,2,20920,9768,538,1,96,18,115
4,7,14,3884,2686,392,1,57,13,71
4,7,13,4240,2868,461,3,114,21,138
4,6,9,3544,2746,387,1,51,6,58
4,6,3,3286,2162,376,1,87,27,115
4,5,9,71360,25888,1103,5,81,11,97
4,5,3,3824,2604,462,1,71,18,90
4,4,13,6360,3864,505,9,164,52,225
4,4,5,3714,2512,395,5,91,26,122
4,3,13,46192,16960,762,9,329,38,376
4,3,4,39568,16096,519,4,128,17,149
4,2,6,70912,27232,788,1,379,40,420
4,1,3,4552,2664,316,1,52,24,77
4,7,10,4390,2862,347,1,63,26,90
4,7,3,4770,3114,344,2,97,25,124
4,6,9,2970,2044,301,2,56,9,67
4,6,4,34192,16464,230,1,36,7,44
4,5,13,5302,3606,441,4,138,26,168
4,5,3,5560,3916,463,7,142,24,173
4,4,13,4406,2830,335,1,75,15,91
4,4,3,5290,3794,454,1,89,14,104
3,5,14,3696,2650,391,2,63,16,81
3,4,14,6030,4418,572,3,176,29,208
3,4,7,49632,48368,1513,7,227,15,249
3,3,15,9120,8004,924,3,25,6,34
3,3,10,1874,1062,15,0,0,0,0
3,3,10,4122,3302,361,1,27,11,39
3,3,4,5080,3892,403,0,39,14,53
3,2,12,4068,3198,402,0,61,13,74
3,2,3,3272,2644,357,0,32,7,39
3,1,19,238,236,99,0,2,0,2
3,1,18,3358,2800,344,8,109,3,120
3,1,18,6400,5916,628,0,32,6,38
3,1,3,6876,5752,259,2,68,15,85
3,7,18,391,380,93,0,6,1,7
3,7,17,10844,8848,1086,4,213,13,230
3,7,15,5132,5132,393,0,2,0,2
3,7,15,3772,3758,140,0,3,0,3
3,7,14,2933,2012,19,0,6,0,6
3,7,12,4094,4088,200,0,4,0,4
3,6,17,452,450,114,0,4,1,5
3,6,17,11420,8032,865,12,211,14,237
3,6,15,5704,5388,361,1,15,1,17
3,6,15,7192,6616,472,11,95,4,110
3,6,13,9604,7984,705,16,127,0,143
3,6,10,122944,13184,475,0,136,13,149
3,6,6,5730,4830,92,2,32,15,49
3,6,3,4898,3730,363,1,76,9,86
3,5,10,4118,3466,379,1,28,7,36
3,5,4,1845,1008,9,0,0,0,0
3,4,13,34480,30720,1292,10,664,97,771
3,2,9,5338,3920,363,1,62,10,73
3,2,5,5312,3588,345,0,48,20,68
3,1,13,4412,3478,346,1,55,7,63
3,1,2,98816,10336,1356,10,197,21,228
3,7,10,7220,5296,642,6,88,24,118
3,7,5,14320,4664,413,2,59,6,67
2,6,13,27056,25424,1146,6,234,26,266
2,6,6,20528,7632,656,3,148,21,172
2,5,12,6416,4716,497,0,96,29,125
2,5,6,5786,4764,483,4,49,15,68
2,4,12,5878,4528,446,3,98,27,128
2,4,3,9528,6260,630,14,198,70,282
2,3,13,8500,5640,465,5,159,53,217
2,3,9,3796,2694,398,1,22,6,29
2,3,6,28128,4560,621,6,154,18,178
2,2,13,7228,5348,606,5,128,32,165
2,2,3,5290,3578,441,2,129,32,163
2,1,13,55520,47488,3430,146,1546,181,1873
2,1,4,5880,4884,706,5,79,11,95
2,7,13,10040,6964,742,19,214,78,311
2,7,2,153536,5696,593,8,134,34,176
2,6,13,158208,20608,1034,9,268,36,313
2,6,3,6484,4280,583,4,128,38,170
2,5,13,4840,3370,447,3,47,21,71
2,5,3,15880,13560,677,1,200,37,238
2,4,12,15288,13312,1052,5,264,36,305
2,4,3,9528,6672,729,10,193,61,264
2,3,13,9356,8460,392,4,114,13,131
2,3,3,7732,4880,570,7,160,57,224
2,2,13,5240,4232,466,0,46,15,61
2,2,4,7132,4736,576,4,136,42,182
2,1,12,21928,3672,497,0,73,13,86
1,6,16,5754,3546,420,0,65,19,84
1,6,10,37088,34352,2021,7,579,47,633
1,6,4,39600,8176,167,1,101,5,107
1,5,13,5536,3098,483,1,74,31,106
1,5,4,6056,3788,487,7,84,36,127
1,4,11,11484,5124,722,56,360,99,515
1,4,4,4938,3804,59,0,5,2,7
1,3,10,66784,11328,801,3,187,36,226
1,3,3,5526,3412,453,2,69,26,97
1,2,7,5040,3068,437,2,82,24,108
1,2,2,5168,3996,58,0,12,2,14
1,1,12,5034,3094,440,2,56,25,83
1,1,2,4908,2842,393,1,44,21,66
1,7,10,9700,4876,660,21,277,80,378
1,7,2,4800,2820,432,1,74,28,103
1,6,11,5280,3300,431,1,79,30,110
1,6,3,6184,3502,437,1,105,46,152
1,5,11,45920,10720,220,0,128,9,137
1,1,2,8412,5348,699,17,185,55,257
1,7,10,5400,3230,422,10,125,41,176
1,7,2,4684,2876,392,5,53,26,84
1,5,8,3480,2104,301,0,53,22,75
1,5,2,3778,2388,363,4,93,18,115
1,4,11,4156,2452,370,7,91,38,136
1,4,4,4188,2200,316,0,91,28,119